id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,data_fetched_at
aave,aave,Aave,371.24,5574551396,35,5939972796,1235666504,379.16,357.72,0.614435,0.16578,9186197.0,0.16506,15015695.42581987,16000000.0,16000000.0,661.69,-43.87155,2021-05-18 21:19:59.514000+00:00,26.02,1327.17708,2020-11-05 09:20:11.928000+00:00,2024-12-18 12:57:22.338000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
algorand,algo,Algorand,0.401592,3349066550,53,3349066576,463361519,0.439942,0.394074,-0.0383504590047444,-8.71716,-281747504.4692216,-7.7599,8324392250.484279,8324392315.727419,10000000000.0,3.56,-88.72651,2019-06-20 14:51:19.480000+00:00,0.087513,358.74798,2023-09-11 19:42:08.247000+00:00,2024-12-18 12:57:35.060000+00:00,-0.832670172978312,usd,2024-12-18 10:02:19.516525
aptos,apt,Aptos,12.72,7081061439,31,14422058700,603955475,13.92,12.53,-1.1707320060085564,-8.4304,-640675123.0458231,-8.29703,555538805.2888442,1131470660.074075,,19.92,-36.17203,2023-01-26 14:25:17.390000+00:00,3.08,312.84512,2022-12-29 21:35:14.796000+00:00,2024-12-18 12:57:35.250000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
arbitrum,arb,Arbitrum,0.922322,3885037895,45,9227873092,644950762,1.001,0.920323,-0.0791756599365771,-7.90573,-231625667.8216052,-5.62654,4210111968.0,10000000000.0,10000000000.0,2.39,-61.33656,2024-01-12 12:29:59.231000+00:00,0.431578,114.13668,2024-08-05 11:35:54.024000+00:00,2024-12-18 12:57:33.368000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
avalanche-2,avax,Avalanche,46.32,18983882208,12,20759856614,710583896,50.69,46.15,-4.220946213115788,-8.35094,-1727052603.8634603,-8.33884,409787345.1210181,448123646.8807611,720000000.0,144.96,-67.96108,2021-11-21 14:18:56.538000+00:00,2.8,1558.08419,2020-12-31 13:15:21.540000+00:00,2024-12-18 12:57:22.907000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
based-brett,brett,Brett,0.155225,1538942018,90,1538942021,88853189,0.170504,0.153183,-0.0152780273790782,-8.96054,-157089879.13036942,-9.2622,9909973835.71734,9909973850.774893,9999998988.0,0.234204,-33.47312,2024-12-01 16:31:18.357000+00:00,0.00084753,18283.90541,2024-02-29 08:40:24.951000+00:00,2024-12-18 12:57:23.586000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
beam-2,beam,Beam,0.03051654,1608937094,87,1871818353,71384395,0.03247523,0.02994539,-0.0019586872395892,-6.03133,-105720289.40532207,-6.16568,52561007898.0,61148853857.0,61148853857.0,0.04416304,-30.44114,2024-03-10 10:40:22.381000+00:00,0.0043383,608.09525,2023-10-29 08:20:14.064000+00:00,2024-12-18 12:57:23.649000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
binance-peg-weth,weth,Binance-Peg WETH,3858.67,2334406187,68,2334406187,102042799,4017.38,3816.06,-150.3486772376823,-3.75026,-91801341.16594124,-3.78374,604999.999959841,604999.999959841,,4098.26,-5.70362,2024-12-06 20:27:27.286000+00:00,2171.8,77.94052,2024-09-06 21:02:52.910000+00:00,2024-12-18 12:57:27.543000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
binancecoin,bnb,BNB,714.73,104258435000,5,104258435000,1988798078,735.66,704.49,-8.983283492258693,-1.24128,-1375195186.4964447,-1.30185,145887575.79,145887575.79,200000000.0,788.84,-9.31196,2024-12-04 10:35:25.220000+00:00,0.0398177,1796555.38987,2017-10-19 00:00:00+00:00,2024-12-18 12:57:28.221000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
bitcoin,btc,Bitcoin,104671.0,2072129405147,1,2197956556806,105168583277,108135.0,103353.0,-2472.686757875417,-2.30781,-49059788972.8584,-2.31284,19797806.0,21000000.0,21000000.0,108135.0,-3.10232,2024-12-17 15:02:41.429000+00:00,67.81,154422.29431,2013-07-06 00:00:00+00:00,2024-12-18 12:57:25.904000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
bitcoin-cash,bch,Bitcoin Cash,520.78,10314362048,23,10937519115,475975435,545.94,518.53,-23.11323358207869,-4.24957,-462923937.2364788,-4.29537,19803540.52165078,21000000.0,21000000.0,3785.82,-86.23685,2017-12-20 00:00:00+00:00,76.93,577.25919,2018-12-16 00:00:00+00:00,2024-12-18 12:57:25.963000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
bitget-token,bgb,Bitget Token,4.41,6150728672,32,8786748969,339681510,4.46,3.75,0.510594,13.1012,687894405.0,12.59226,1400001000.0,2000000000.0,2000000000.0,4.46,-1.15235,2024-12-18 11:41:38.140000+00:00,0.0142795,30765.60658,2020-06-25 04:17:05.895000+00:00,2024-12-18 12:57:23.332000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
bittensor,tao,Bittensor,522.06,3858551044,46,10978095031,216093383,542.49,509.2,-20.06748448378164,-3.70161,-140331628.6662054,-3.50927,7381023.0,21000000.0,21000000.0,757.6,-31.00899,2024-03-07 18:45:36.466000+00:00,30.83,1595.36105,2023-05-14 08:57:53.732000+00:00,2024-12-18 12:57:23.282000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
blockstack,stx,Stacks,2.16,3258475253,55,3258488241,292208387,2.43,2.14,-0.2258968041977112,-9.46483,-335969018.5958853,-9.3469,1505283358.41858,1505289358.41858,1818000000.0,3.86,-43.64915,2024-04-01 12:34:58.342000+00:00,0.04559639,4675.7687,2020-03-13 02:29:26.415000+00:00,2024-12-18 12:57:25.233000+00:00,17.00666830802179,usd,2024-12-18 10:02:19.516525
bonk,bonk,Bonk,3.358e-05,2549926488,65,3118786022,658770521,3.916e-05,3.361e-05,-4.160163363904e-06,-11.02204,-301571589.6059504,-10.5759,75769195708385.03,92672439625198.88,92672439625198.88,5.825e-05,-42.1468,2024-11-20 04:01:06.465000+00:00,8.6142e-08,39020.75743,2022-12-29 22:48:46.755000+00:00,2024-12-18 12:57:23.947000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
cardano,ada,Cardano,1.029,36860825999,10,46303636800,1623607142,1.11,1.018,-0.0786158086750652,-7.0982,-2762060388.116204,-6.97087,35823042952.72357,45000000000.0,45000000000.0,3.09,-66.59413,2021-09-02 06:00:10.474000+00:00,0.01925275,5256.16754,2020-03-13 02:22:55.044000+00:00,2024-12-18 12:57:32+00:00,0.0,unknown,2024-12-18 10:02:19.516525
celestia,tia,Celestia,6.15,2817322321,60,6730689164,218065676,6.67,6.12,-0.5133525314612806,-7.70666,-220701082.6923356,-7.26463,456345240.83182,1090225972.602435,,20.85,-70.37911,2024-02-10 14:30:02.495000+00:00,2.08,196.43457,2023-10-31 15:14:31.951000+00:00,2024-12-18 12:57:24.597000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
chainlink,link,Chainlink,27.12,16999906534,13,27119577749,2050541305,28.5,26.92,-1.203548610204301,-4.24891,-780049230.9011192,-4.38724,626849971.3083414,1000000000.0,1000000000.0,52.7,-48.1109,2021-05-10 00:13:57.214000+00:00,0.148183,18352.69254,2017-11-29 00:00:00+00:00,2024-12-18 12:57:26.732000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,104771.0,2165664468,70,2165664468,510848982,108259.0,103364.0,-2452.9451203454664,-2.28768,-4913900.4782681465,-0.22639,20670.4460959,20670.4460959,,108259.0,-3.1195,2024-12-17 15:02:49.202000+00:00,57439.0,82.5981,2024-09-12 14:07:41.775000+00:00,2024-12-18 12:57:26.080000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
cosmos,atom,Cosmos Hub,8.47,3310862179,54,3312910155,343375405,8.94,8.32,-0.4319863940802477,-4.8509,-168714966.89766026,-4.84872,390688369.813272,390930035.085365,,44.45,-80.91216,2022-01-17 00:34:41.497000+00:00,1.16,631.35653,2020-03-13 02:27:44.591000+00:00,2024-12-18 12:57:26.549000+00:00,83.73295169381787,usd,2024-12-18 10:02:19.516525
crypto-com-chain,cro,Cronos,0.184768,5017003382,37,5543368562,111807725,0.206588,0.182277,-0.0079181521667887,-4.10936,-253793815.46969795,-4.81509,27151379124.02778,30000000000.0,,0.965407,-80.77781,2021-11-24 15:53:54.855000+00:00,0.0121196,1431.17586,2019-02-08 00:00:00+00:00,2024-12-18 12:57:25.380000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
dai,dai,Dai,0.99935,3454296677,52,3454296677,77171121,1.003,0.993531,-0.0009680445594791,-0.09677,-10220931.965646744,-0.29502,3457328328.167598,3457328328.167598,,1.22,-18.01243,2020-03-13 03:02:50.373000+00:00,0.88196,13.31258,2023-03-11 07:50:50.514000+00:00,2024-12-18 12:57:26.942000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
dogecoin,doge,Dogecoin,0.383894,56557979835,7,56559977178,4085292237,0.409212,0.380776,-0.0222401105176212,-5.47605,-3230165588.9368973,-5.40269,147246416383.7052,147251616383.7052,,0.731578,-47.27674,2021-05-08 05:08:23.458000+00:00,8.69e-05,443737.8997,2015-05-06 00:00:00+00:00,2024-12-18 12:57:29.205000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
dogwifcoin,wif,dogwifhat,2.5,2495756000,66,2495756000,754389803,2.85,2.5,-0.326441914846117,-11.56298,-328548167.2470632,-11.63289,998926392.0,998926392.0,998926392.0,4.83,-47.974,2024-03-31 09:34:58.366000+00:00,0.00155464,161384.05522,2023-12-13 07:13:50.873000+00:00,2024-12-18 12:57:26.377000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
eos,eos,EOS,0.973258,1478736222,93,2047185153,285845717,1.078,0.975352,-0.0996558097545109,-9.28833,-150363050.16569376,-9.22983,1516885789.1746,2100000000.0,2100000000.0,22.71,-95.69605,2018-04-29 07:50:33.540000+00:00,0.402746,142.70454,2024-11-04 21:55:59.771000+00:00,2024-12-18 12:57:27.679000+00:00,-0.0169111121876528,usd,2024-12-18 10:02:19.516525
ethena,ena,Ethena,1.074,3161793415,56,16145328075,429234972,1.16,1.051,-0.0766416232234665,-6.65817,-224687318.7445655,-6.63483,2937500000.0,15000000000.0,,1.52,-28.01849,2024-04-11 13:15:15.057000+00:00,0.195078,460.01441,2024-09-06 21:04:48.253000+00:00,2024-12-18 12:57:27.079000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
ethena-usde,usde,Ethena USDe,1.0,5971488499,33,5971488499,122501340,1.004,0.998666,-0.0007857110390485,-0.07848,32901124.0,0.55402,5970660029.626944,5970660029.626944,,1.032,-2.90321,2023-12-20 15:38:34.596000+00:00,0.929486,7.81427,2024-10-04 07:57:15.809000+00:00,2024-12-18 12:57:30.904000+00:00,0.0,unknown,2024-12-18 10:02:19.516525
