id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,timestamp
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,95633.0,1890363142578,1,2005060124547,128643924501,102241.0,92245.0,-6608.778162249568,-6.4639,-135848668483.74854,-6.70456,19798721.0,21000000.0,21000000.0,108135.0,-12.25916,2024-12-17T15:02:41.429Z,67.81,139819.91395,2013-07-06T00:00:00.000Z,,2024-12-20T14:37:59.660Z,2024-12-20 11:44:58.541015
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3335.04,401375551157,2,401375551157,83238958732,3679.97,3112.95,-344.93107510117716,-9.3732,-43074491509.08234,-9.69164,120453164.5073113,120453164.5073113,,4878.26,-32.52099,2021-11-10T14:24:19.604Z,0.432979,760168.52475,2015-10-20T00:00:00.000Z,"{'times': 45.65027284636257, 'currency': 'btc', 'percentage': 4565.027284636257}",2024-12-20T14:38:02.707Z,2024-12-20 11:44:58.541015
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,140628439043,3,140628439043,211255383608,1.004,0.993775,0.00134132,0.13428,39218014.0,0.0279,140623286117.3404,140623286117.3404,,1.32,-24.55228,2018-07-24T00:00:00.000Z,0.572521,74.35958,2015-03-02T00:00:00.000Z,,2024-12-20T14:37:56.652Z,2024-12-20 11:44:58.541015
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.18,124528800359,4,217479815982,26560481733,2.38,1.98,-0.20182223235678665,-8.47695,-11672866166.247726,-8.57028,57252380420.0,99986807248.0,100000000000.0,3.4,-36.19963,2018-01-07T00:00:00.000Z,0.00268621,80616.93729,2014-05-22T00:00:00.000Z,,2024-12-20T14:38:04.509Z,2024-12-20 11:44:58.541015
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,657.72,95936729288,5,95936729288,3376867595,701.22,618.83,-43.499710647040274,-6.20345,-6803531750.477661,-6.62207,145887575.79,145887575.79,200000000.0,788.84,-17.3875,2024-12-04T10:35:25.220Z,0.0398177,1636567.74161,2017-10-19T00:00:00.000Z,,2024-12-20T14:37:57.082Z,2024-12-20 11:44:58.541015
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,188.8,90370362541,6,111349235120,15021486498,209.35,176.48,-20.549708490166722,-9.81595,-10311667875.731247,-10.24182,479256478.8386501,590512650.8793926,,263.21,-28.59788,2024-11-23T15:05:59.896Z,0.500801,37426.97326,2020-05-11T19:35:23.449Z,,2024-12-20T14:37:55.875Z,2024-12-20 11:44:58.541015
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.298044,43747992525,7,43750600688,15376503635,0.363154,0.26734,-0.06510930850966917,-17.92885,-9990768605.39215,-18.59136,147271236383.7052,147280016383.7052,,0.731578,-59.38754,2021-05-08T05:08:23.458Z,8.69e-05,341786.1262,2015-05-06T00:00:00.000Z,,2024-12-20T14:37:59.512Z,2024-12-20 11:44:58.541015
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.002,42265636902,8,42273026921,19774353128,1.005,0.995253,0.00366459,0.36691,-93951814.13756561,-0.2218,42163929936.58651,42171302172.54004,,1.17,-14.75665,2019-05-08T00:40:28.300Z,0.877647,13.90165,2023-03-11T08:02:13.981Z,,2024-12-20T14:38:00.418Z,2024-12-20 11:44:58.541015
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3322.55,32526793015,9,32526793015,240344267,3673.68,3091.72,-351.13067854817064,-9.558,-3416125257.195751,-9.50431,9789537.97069388,9789537.97069388,,4829.57,-31.5837,2021-11-10T14:40:47.256Z,482.9,584.2492,2020-12-22T04:08:21.854Z,,2024-12-20T14:38:04.961Z,2024-12-20 11:44:58.541015
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.857937,30734230661,10,38607562780,3345621657,0.964541,0.764869,-0.10660406529025579,-11.05231,-4073738616.7261543,-11.70347,35823042952.72357,45000000000.0,45000000000.0,3.09,-72.3694,2021-09-02T06:00:10.474Z,0.01925275,4330.18413,2020-03-13T02:22:55.044Z,,2024-12-20T14:38:02.016Z,2024-12-20 11:44:58.541015
